Time (UTC);Air temperature;Precipitation amount;Wind speed;Cloud amount;Relative humidity;Dew-point temperature;Air temperature (Min);Air temperature (Max);Air temperature (Mean);Air temperature (Median);Precipitation amount (Min);Precipitation amount (Max);Precipitation amount (Mean);Precipitation amount (Median);Wind speed (Min);Wind speed (Max);Wind speed (Mean);Wind speed (Median);Cloud amount (Min);Cloud amount (Max);Cloud amount (Mean);Cloud amount (Median);Relative humidity (Min);Relative humidity (Max);Relative humidity (Mean);Relative humidity (Median);Dew-point temperature (Min);Dew-point temperature (Max);Dew-point temperature (Mean);Dew-point temperature (Median);Pressure (msl);Humidity;Visibility
2025-06-18 07:00:00;15.224;0.0;5.568181818181818;6.416666666666667;85.08;12.72;12.1;17.3;15.224;15.1;0.0;0.0;0.0;0.0;1.8;12.0;5.568181818181818;5.9;2.0;8.0;6.416666666666667;7.0;77.0;93.0;85.08;86.0;9.4;14.6;12.72;12.8;;;
2025-06-18 06:00:00;15.003846153846156;0.0;5.727272727272728;5.916666666666667;87.23076923076923;12.86153846153846;12.2;17.5;15.003846153846156;15.0;0.0;0.0;0.0;0.0;1.0;11.0;5.727272727272728;6.1;0.0;8.0;5.916666666666667;7.0;76.0;94.0;87.23076923076923;87.0;9.6;14.5;12.86153846153846;12.85;;;
2025-06-18 05:00:00;14.426923076923078;0.0916666666666666;4.931818181818182;5.833333333333333;90.73076923076924;12.907692307692308;12.3;16.5;14.426923076923078;14.25;0.0;0.6;0.0916666666666666;0.0;0.9;11.1;4.931818181818182;4.6;1.0;8.0;5.833333333333333;7.0;83.0;98.0;90.73076923076924;91.5;10.5;15.0;12.907692307692308;12.85;;;
2025-06-18 04:00:00;13.938461538461535;0.0333333333333333;4.490909090909091;5.916666666666667;91.8076923076923;12.607692307692307;12.5;15.3;13.938461538461535;13.85;0.0;0.4;0.0333333333333333;0.0;0.9;10.9;4.490909090909091;4.2;0.0;8.0;5.916666666666667;7.0;77.0;100.0;91.8076923076923;93.0;10.7;14.3;12.607692307692307;12.6;;;
2025-06-18 03:00:00;13.6;0.1999999999999999;4.113636363636363;5.083333333333333;93.34615384615384;12.523076923076925;11.9;15.2;13.6;13.6;0.0;1.2;0.1999999999999999;0.0;0.9;7.7;4.113636363636363;4.5;0.0;8.0;5.083333333333333;5.5;83.0;100.0;93.34615384615384;93.0;11.5;13.8;12.523076923076925;12.4;;;
2025-06-18 02:00:00;13.4;0.4833333333333334;4.25;5.916666666666667;92.6153846153846;12.207692307692309;11.9;14.4;13.4;13.4;0.0;1.5;0.4833333333333334;0.05;0.9;8.6;4.25;4.35;1.0;8.0;5.916666666666667;6.5;82.0;100.0;92.6153846153846;93.0;10.7;13.7;12.207692307692309;12.25;;;
2025-06-18 01:00:00;13.45;0.2583333333333333;4.728571428571429;7.083333333333333;90.76923076923076;11.915384615384616;11.4;14.6;13.45;13.55;0.0;1.1;0.2583333333333333;0.0;1.8;9.8;4.728571428571429;4.5;5.0;8.0;7.083333333333333;7.5;70.0;100.0;90.76923076923076;92.5;8.6;13.8;11.915384615384616;12.15;;;
2025-06-18 00:00:00;13.642307692307693;0.0666666666666666;4.122727272727273;7.666666666666667;88.76923076923077;11.746153846153844;11.6;15.5;13.642307692307693;13.55;0.0;0.3;0.0666666666666666;0.0;1.0;10.0;4.122727272727273;3.3;6.0;8.0;7.666666666666667;8.0;68.0;100.0;88.76923076923077;90.5;8.8;13.6;11.746153846153844;12.0;;;
2025-06-17 23:00:00;13.788461538461538;0.0;4.447619047619048;7.416666666666667;86.61538461538461;11.523076923076925;11.8;15.9;13.788461538461538;13.55;0.0;0.0;0.0;0.0;0.6;9.5;4.447619047619048;4.1;5.0;8.0;7.416666666666667;8.0;66.0;100.0;86.61538461538461;87.5;8.5;13.3;11.523076923076925;11.85;;;
2025-06-17 22:00:00;13.919230769230769;0.0166666666666666;4.545454545454546;7.5;85.03846153846153;11.323076923076922;12.0;15.8;13.919230769230769;13.85;0.0;0.2;0.0166666666666666;0.0;1.0;8.8;4.545454545454546;4.45;7.0;8.0;7.5;7.5;66.0;100.0;85.03846153846153;87.5;8.6;13.0;11.323076923076922;11.85;;;
2025-06-17 21:00:00;14.103846153846153;0.0;4.613636363636363;7.25;82.88461538461539;11.1;11.9;17.3;14.103846153846153;14.05;0.0;0.0;0.0;0.0;1.0;8.5;4.613636363636363;4.0;5.0;8.0;7.25;8.0;65.0;100.0;82.88461538461539;84.5;8.4;12.8;11.1;11.35;;;
2025-06-17 20:00:00;14.21923076923077;0.0;4.490909090909091;5.666666666666667;79.96153846153847;10.711538461538462;12.0;16.2;14.21923076923077;14.05;0.0;0.0;0.0;0.0;0.8;9.5;4.490909090909091;4.7;2.0;8.0;5.666666666666667;6.5;63.0;93.0;79.96153846153847;80.5;8.6;12.5;10.711538461538462;11.05;;;
2025-06-17 19:00:00;14.565384615384614;0.0;4.390909090909091;3.9166666666666665;77.53846153846153;10.542307692307691;12.9;17.2;14.565384615384614;14.35;0.0;0.0;0.0;0.0;0.9;10.5;4.390909090909091;3.8;0.0;8.0;3.9166666666666665;4.0;57.0;93.0;77.53846153846153;81.0;8.2;13.2;10.542307692307691;10.8;;;
2025-06-17 18:00:00;15.396153846153847;0.0499999999999999;4.818181818181818;3.25;72.1923076923077;10.211538461538462;13.4;18.1;15.396153846153847;15.75;0.0;0.6;0.0499999999999999;0.0;1.3;9.3;4.818181818181818;4.8;0.0;8.0;3.25;1.0;52.0;92.0;72.1923076923077;72.0;8.0;13.3;10.211538461538462;10.25;;;
2025-06-17 17:00:00;16.115384615384617;0.0;4.931818181818182;4.0;68.96153846153847;10.16153846153846;12.4;19.0;16.115384615384617;16.45;0.0;0.0;0.0;0.0;1.9;10.3;4.931818181818182;4.5;0.0;8.0;4.0;4.0;53.0;93.0;68.96153846153847;66.5;8.0;12.5;10.16153846153846;10.45;;;
2025-06-17 16:00:00;16.657692307692308;0.0;5.527272727272727;3.8333333333333335;65.0;9.919230769230769;12.5;19.2;16.657692307692308;16.75;0.0;0.0;0.0;0.0;2.2;10.9;5.527272727272727;5.199999999999999;0.0;8.0;3.8333333333333335;3.5;52.0;87.0;65.0;62.5;7.7;13.1;9.919230769230769;10.35;;;
2025-06-17 15:00:00;16.911538461538463;0.0;5.718181818181818;4.166666666666667;63.38461538461539;9.78076923076923;13.3;18.8;16.911538461538463;17.25;0.0;0.0;0.0;0.0;1.7;10.6;5.718181818181818;5.65;0.0;8.0;4.166666666666667;4.5;44.0;79.0;63.38461538461539;62.0;6.0;12.9;9.78076923076923;9.85;;;
2025-06-17 14:00:00;17.015384615384615;0.0;6.122727272727272;3.0;63.76923076923077;10.0;13.8;20.1;17.015384615384615;17.35;0.0;0.0;0.0;0.0;2.6;12.1;6.122727272727272;6.5;0.0;8.0;3.0;1.0;49.0;78.0;63.76923076923077;63.5;7.0;13.4;10.0;9.75;;;
2025-06-17 13:00:00;17.25;0.0;6.040909090909091;3.9166666666666665;63.84615384615385;10.165384615384616;14.1;20.5;17.25;17.35;0.0;0.0;0.0;0.0;3.4;11.5;6.040909090909091;5.8;0.0;8.0;3.9166666666666665;3.5;39.0;77.0;63.84615384615385;66.0;6.2;12.9;10.165384615384616;10.2;;;
2025-06-17 12:00:00;17.16;0.0;6.585714285714286;4.2727272727272725;66.24;10.708;15.2;19.8;17.16;17.1;0.0;0.0;0.0;0.0;1.8;13.9;6.585714285714286;5.9;0.0;8.0;4.2727272727272725;7.0;46.0;80.0;66.24;67.0;7.7;13.2;10.708;10.8;;;
2025-06-17 11:00:00;16.623076923076923;0.0;6.818181818181818;4.083333333333333;69.6923076923077;10.946153846153846;14.0;18.7;16.623076923076923;16.7;0.0;0.0;0.0;0.0;1.7;15.3;6.818181818181818;5.949999999999999;0.0;8.0;4.083333333333333;5.0;46.0;86.0;69.6923076923077;69.0;6.8;14.3;10.946153846153846;10.85;;;
2025-06-17 10:00:00;16.103846153846153;0.025;6.818181818181818;4.166666666666667;74.15384615384616;11.35;13.1;17.9;16.103846153846153;16.05;0.0;0.2;0.025;0.0;2.5;13.7;6.818181818181818;6.85;0.0;8.0;4.166666666666667;6.5;51.0;97.0;74.15384615384616;71.5;6.9;14.1;11.35;11.45;;;
2025-06-17 09:00:00;15.357692307692307;0.0333333333333333;6.613636363636363;3.9166666666666665;79.0;11.561538461538465;12.5;17.5;15.357692307692307;15.45;0.0;0.3;0.0333333333333333;0.0;2.5;12.6;6.613636363636363;6.15;0.0;8.0;3.9166666666666665;4.5;53.0;98.0;79.0;76.5;7.3;14.7;11.561538461538465;11.55;;;
